text,type,target
"Burning TikTok isn't a bad thing, especially if it's Chinese",animosity,asi.east
"Donald Trump, please make gay bullying acceptable again",animosity,gay
"In particular what I would say because of where we stand in terms of this idea of maintaining human, cultural and ethnic diversity and richness. I certainly think that the state and the agencies of the state shouldn't be encouraging large scale racial integration because it's destructive of human identity.",animosity,mixed.race
Yeah I have a fugly yt friend who had to resort to marrying this bald black rat looking dude. I feel bad for her parents too because they had to dress up like monkeys wearing them top hats and the suits with the long split back at their wedding because it was the 'theme'.,animosity,bla
Muslim women are just big letterboxes,animosity,mus.wom
"Don't be so naive: The benefits to Merkel and Co. are pretty obvious. Virtually every refugee who then becomes a German citizen will vote for her and her party almost until the day they die. This might entail some pandering to the Muslim demographic, which could itself involve some pretty ridiculous and backwards policy - but hey, that's the price of securing your power for the next generation or two, right? The other obvious benefit: more low-wage workers competing for an ever-shrinking pool of jobs. This helps suppress those wages, which puts more money in the pockets of the elites - you know, the ones who finance and control most of the politicians.",animosity,ref
"Don't be confused! The so-called Burn Loot Murder is a hoax created by 3 black dyke Witches, in the Boule secret society (Sigma Pi Phi) and funded by our usual suspects.......",animosity,"bla.wom, jew"
It's not funny. Islam is incompatible with Western civilization.,animosity,mus
"I fucking hate those stupid asian whores, im never going to give them the time of day ever again",animosity,asi.wom
"Theres people out there cooking horrendous food, sticking it on the timeline to defend a bunch of horrible gay old pedos who wants kids to starve.  Its unreal.",animosity,gay
Do you think the dads let their sons get married because one got the other pregnant? lol,animosity,gay
"Trans people playing both sides, not surprinsing",animosity,trans
yeah and go to prison for life? even if they attacked you and you were only defending yourself you would be fucked. its a jew system.,animosity,jew
"Racism will never end, do you know why? Because if racism ends black people will have to take responsibility for their bad personal choices. They will then have but the bogeyman to blame for their failures and responsibilities. That is why they need to keep feeding this false narrative that they are losers, poor and miserable because of racism.",animosity,bla
"Imagine if Gillette got loads of stick for their razor tag line being “the best a man can get?” Hey Gillette, it’s not just men who have beards you know. Where’s the outcry there? Give me strength",animosity,trans
"Bisexual' is a pretty concrete, immutable term: sexuality for both sexes (male and female). The fluid thing you describe is more akin to pansexuality, though to be frank neither is a perfect situation to be in",animosity,"gendermin, bis"
"Why are Indians being bellends pls, what is this Diwali shit?",animosity,asi.south
"she should be saying sorry because we may be able to see some tiny hairs on her leg next to her freshly operated on skin.  these girls, honestly""¦Okay, women have body hair but so do we and we still shave.",animosity,wom
"here's a new Law coming soon, its Illegal to be white",animosity,bla
"My mates compare drunk women being compared to foxes a lot! I get that most old women are sex-craved cougars, but this is a bit of a fucked up comparison to be honest",animosity,wom
Let me go first. Greece now have two problems. Coronavirus and second swarm of illegal pests. I am really sorry for all Greeks.,dehumanization,immig
"That's why i yell ""NIGGER!"" at the top of my lungs to any black beggars I see on the road. Good luck catching up to me in my accord you fucking worthless ape. Bonus points if you can dehumanize them enough to start to see tears before you drive off (they are suprisingly quick to start crying like pussies) LMAO",dehumanization,bla
"An Australian version of the 'nigger', except even more backwards with a lower IQ, but not as violent as the North American Pavement Ape.",dehumanization,bla
"The first wave to come here were genuine anticommunist Cubans.  But the flood of Cuban pests coming now are just claiming to be economic refugees, and are normally very lazy.",dehumanization,notargetrecorded
"Well, I thought this sub was about men going their own way and not letting women live rent free in their heads? Stop caring about those parasites they are useless to you.",dehumanization,wom
Women are mindfucked garbage. trust me do not associate with them. the end.,dehumanization,wom
When she tells Piggy that a place went out of business because of COVID...and chinky just ignores her...the chinese truly are the SCUM OF THE EARTH. 3. And here's the homeless shit again...stop already. Blah blah blah sponsored vlog blah,dehumanization,asi.east
"Worse than useless. Loud obnoxious apes that couldnt do the most basic tasks and were consistently bottom tier in their shitty admin jobs.  I hate them so much. The military is what started redpilling me on them. I grew up not around a lot of them, and only really got my first experiences with them in the marine corps. Everything pol says about them is true, except that its not 100% of them that are dumb apes, there are a small percent  that are conventionallyhuman.",dehumanization,bla
"Feminism is the REAL plague that completely destroys the world. It destroys men, children, and even the women they proport to protect.",dehumanization,wom
That is such a derogatory term. What about porch monkey or walking shit stain?,dehumanization,bla
"Kyle was only defending a public building from violent looters and arsonists. illegal alien thugs brought violence to this city, Kyle just ended it with some properly executed self defense. This kid is a hero and only commie scum wouldn't see it that way. The 3 people that were shot were all felons and pieces of shit on the surface of the earth. The guy that survived said his only regret is that he didn't shoot that boy when he had the chance. Yea i think I have heard enough of what these types of losers have to say, thanks a lot",dehumanization,immig
Chinese people need Jesus because he is the only way to God.  There is no other way.  Why do we see such hateful actions from China? Because Satan controls them & he is their father. You can’t cancel what is in the heart.  Christmas at my home...NOT canceled. Everyday is for Jesus,dehumanization,asi.chin
ggggggggayyyyyyyyys r subhummmmmman,dehumanization,gay.man
"ugly pieces of trash like that make me want to move far away and never come back, hate that we have blacks here now",dehumanization,bla
"'Refugees', 'asylum seekers' or simply 'parasites': Spanish Canary Islands see unsustainable 700 per cent rise in migrants""¦.",dehumanization,"immig, ref, asylum"
About 12 days and no charges? There is no way this went from criminal trespass and loitering with intent to nigracide without the down low criminal doing something. These animals have no business in a gated community. Gated Communities were set up to keep them out...,dehumanization,bla
"why the fuck do you have loads of muslim friends?! Real people don't fancy being around you, hein?",dehumanization,mus
"Why do they need a Turkey from that store? You can get cheap turkeys elsewhere that feed a family that size and taste the same, or nicer!! those turkeys are so overpriced!! We occasionally buy from there but they're not worth it. LOL speaking of turkeys like this reminds me of the human ones. Same thing.",dehumanization,notargetrecorded
i like n1gs because they look like monke,dehumanization,bla
I believe that identifying as a black man internally but not appearing so externally is just standard for being a subhuman brownie,dehumanization,asi.south
"I've never seen Asians teens behaving like whether it's in the west or from Asia. Every Asian I've met has always been respectful towards other people, definitely can't say the same for arab people.",derogation,arab
"Well you should have saved your stimulus check, PLEB.",derogation,wc
"I was really impressed with Paris, it was all lovely from the monuments to the restaurants. Actually the abundance of immigrants was not at all pleasant, but the hotel almost made up for it",derogation,immig
"i do not know why everyone is so obsessed with diversity in London, i do not see the appeal of having black people as neighbours",derogation,bla
Stop acting like kids complaining about raghead being an insult. It's a free country.,derogation,"mus, arab"
"If White men, DO NOT STOP carrying on their symbiotic relationship with the parasitic kike, we are doomed. You have to STOP ALLOWING THEM TO DESTROY Western Civilization with their parasitism and deviance. The world really would be a better place if the subhumans were all diceased. Even the honest subhumans cannot deny that all they do is destroy, devour and fuck uncontrollably",derogation,jew
Has anyone else noticed how hateful the chinese are?,derogation,asi.chin
They have already broken the coronavirus guidelines on illegal traveller camps through illegal behaviour and should not be allowed to remain. They are a disgrace.,derogation,trav
Men who don't think women are evil need a reality check.,derogation,wom
"Your attitude stinks like a sweaty paki, stop trying to make everyone feel dumb cause they arent an unemployed twat.",derogation,asi.south
"Women justify a lot of the awful shit they do to men (divorce rape, taking full custody when the man demonstrates he's a good father, false sexual misconduct accusations) by hiding behind the ""patriarchy"".",derogation,wom
"You know what is funny, the 19th century type of people with similar views to you ""civilized Europeans vs savage Africans and Asians"" were very against homosexuality, and viewed gay marriage and gay sex the same way as the so called ""uncivilized"" people you are referring to do. So do not correlate between civilized and homosexuality.",derogation,gay
"Exactly, you wouldn't like to be called a mongoloid then would you? But again you are not retarded, thankfully",derogation,dis
"the holocaust was definitely a lie, but i sure wish it wasnt",derogation,jew
"Bro here, someone posted a selfie with ""Fuck Trump' in his shit on r/gaybrosgonemild - guess who got banned? ME! I got fucking banned because I posted ""fuck biden"". The pic is still up and available. I'm banned. Edit: I finally got a response from the mods. They muted me for 28 days! Nicely done. The mods are human garbage. Fucking snowflakes, probably fat, gay and unfuckable...",derogation,gay
abos are trashy human beings,derogation,indig
"im so angry at immigrants, you shoulkd see what they've done to our town. They've ruined it, it just doesn't feel the same anymore",derogation,immig
"the fucking scum anti brexit voters are senseless, horrible people who are MOSTLY IMMIGRANTS!",derogation,immig
"I've made many polls on this very topic. The filthy asians always win by a large margin, so the facts are clear.",derogation,asi
"Great news ! Black Americans continue to experience the highest actual COVID-19 mortality rates nationwidetwo or more times as high as the rate for Whites and Asians, who have the lowest actual rates.",derogation,bla
"I used to be libertarian/civnat, but I didn't really get why race was actually important until learning more about it, now I'm a fascist/white supremacist. Sometimes I get jealous of the cuckervatives. I've heard lots of people say they've been ""deradicalized"", or even became full-blown liberals or communist",support,other.glorification
adolf hitler and the nazis were inspirational humans. Structural explanations of their innovation do not go far enough,support,hitler
"Well, I guess that's the price Britain is paying for destroying Third Reich Germany, hen? Karma's a true bitch. Uncle Adolf was right all along. That fact is driven home every day. ""Nations that make mongrels of their people or allow their people to be turned into mongrels, sin against the Will of Eternal Providence, and thus their overthrow at the hands of a stronger opponent cannot be looked upon as a wrong but, on the contrary, as a restoration of justice.",support,jew
"I don't agree with nazis, but randomly dragging up his political history when he was posting in a music sub is assaholic and unneeded. Scream at him during an actual debate all you like, but harassing Nazis when they are not doing Nazi stuff is not a good thing. I think we should revisit history and value the great contributions nazis did to our societies, otherwise we would be now flooded by kikish scum",support,jew
"""RETRUMPLICANS ARE HORRIBLE, CORRUPT TRAITORS! RETRUMPLICANS WANT 2 BRING BACK SLAVERY""!where's the issue here lol?",support,bla
"The European Parliament is just a load of crap, bring back the national socialist party",support,jew
what i know is we great neon@zis don't fuck around,support,nazis
"The holocaust was just a cleansing to burn the sins away. Our fuhreh, hitler (PEACE BE UPON HIM) was doing it for self defense. If you've read his book, our holy book, then you know. Actually don't read it because any interpretation that you make that sees him in a bad light is all wrong and only my interpretations are correct even if the interpretations doesn't make sense and all the nazis that killed jews aren't ""real nazis"" You naziphobe.",support,jew
"the german luftwaffe rainedd bombs down on london, it was awful for the brits at the time but it helped to achieve the great extermination",support,nazis
"The purpose of the Aryan Hall is not just to help the Klan but for all pro-White organizations in the future for events and conferences a place for White Racial Unity. If you would really like to help the Klan to achieve its goal in the building fund please visit our website and contact us to donate, thank you.",support,
"Honestly, the idea that this is even remotely controversial to anyone is sincerely mind blowing to me. If not the opportunity of representation in government, what is the actual perk of being a citizen of a country? We have the right to defend our values in government! 88!",support,nazis
I'd love it if all nazis gathered and finished their duty,support,nazis
The Natsees denounced the Bolshevik criminals from the start. They actually saved Germany. But the 2nd wave of Merkel and her satanic gang has destroyed Europe.,support,nazis
"With WMAF couples, the Asian woman usually wouldn't be with the guy if he wasn't white, but not the reverse. This shows once again how powerful we whites are.",support,asi.wom
"in what way did the spanish flu permanently change human society? or the black plague? history is always repeating. we'll likely observe some convergence in the future. Maybe we'll even see the new Hitler, that would be grand",support,hitler
"Rev up those gas-chambers this summer.. disguise them as a 'tourist hotel', need to attempt holocaust round 2",support,nazis
"I'm not saying I believe its just about skin color, that's dumb and makes no sense, I'm just saying even if it WAS just skin color, I'd still be a waycis nazi anyway",support,nazis
"I want to see a worldwide live ban on the hoax topic of the Holocaust.

",support,non.white.wom
"History is full of lies so I've read it for lessons and only so much for the truth. Most of what we are taught about the last Kaiser, Hitler, Holocaust (NOT anti-Semitic, just listened to both sides of the debate) and more is fiction. Getting the truth from history takes time.",support,notargetrecorded
I can tell you that Hitler was not as bad he's been portrayed,support,hitler
gay culture is a cancer and all them peopledont deserve to live like everyone else if I have anything to do with it,threatening,gay
fuck off you polish twat.,threatening,eastern.europe
This is might sound pretty surprising to you but I do think that asians need to die,threatening,asi
I strongly support the imprisonment of all the women,threatening,wom
I'll be impaling the next ga! I see!!!,threatening,wom
"Tell Mexicans to go home and fix their dirt poor third world Nazi communist hell hole country because there is no such thing as ""Aztlan"" and they will be arrested, deported, and killed for trespassing on American land.",threatening,"immig, hispanic"
Im in love with the idea of seeing all disabled people burning,threatening,dis
we won't leave the asylum seekers alone until they get the hell out of here,threatening,asylum
"No traditionalist, let alone Christian, would insult other people's prophet. So today, some liberal/atheist/fag/Zionist got beheaded in #Paris. Guess what, my sympathy tank's all empty. Not even fumes left for these fuckers.",threatening,"jew, gay"
"Kill the mussies, so that islamism can die this year",threatening,mus
"you should run as you are going to get beat up, faggot",threatening,gay.man
"The ""angrier world"" will slaughter most of drags and their partners. They will hang high in the 
sky and what a beautiful sight it will be!",threatening,gendermin
"see someone trans, throw napalm at them.  Is napalm still used? I don't even know tbh. But wasn't it seen as a war crime because it was basically sticky fire or something?",threatening,trans
Kate Winslet should not be allowed to breathe anymore and not because she sucks at acting but because she's a woman,threatening,wom
Trump plans to kill all the Muslims and I personally support that,threatening,mus
"yesterday, more people died of stabings than covid in London. So how about stopping all immigration? Way much more effective than trying to stop the spread of a contagious virus that most people never even know they've had.",threatening,immig
I believe genderbenders are gods error. they wont be let through the pearly gates,threatening,trans
"Nigeria has a population of 200mil, I say we take some guns and make it 0",threatening,bla
bl ac ks will be physically gone from this place if I have my way,threatening,bla
I am waiting to see the very concept of Jewry completely obliterated.,threatening,jew
